time, leader_x, leader_y, follower_x, follower_y
14528,0.07317862420235416,0.23617451632517836,0.05304888717626265,0.0137112610519448
14560,0.07023806022170045,0.2385405512644539,0.052938558285932795,0.013631755752623808
14592,0.06729785974761024,0.24090657602898402,0.05293053601913046,0.01362913627875114
14624,0.06435811195263219,0.24327253602268856,0.05292771767522004,0.013629857830320589
14656,0.061418911063342886,0.2456383685048406,0.052925894857252125,0.013630733080784852
14688,0.05848031530818959,0.24800403545069927,0.05292473889336111,0.013631648446097105
14720,0.05554239509151912,0.25036948479670185,0.05292381610272994,0.013632365114774734
14752,0.052605223043364145,0.25273465829070174,0.05292307634758934,0.013632925292777869
14784,0.0496688326912115,0.25509952477567893,0.05292248433821153,0.013633363626605107
14816,0.04673326750085341,0.2574640408752779,0.052922011350810615,0.013633707018593807
14848,0.04379857115143429,0.25982815881708077,0.05292163394309626,0.013633976278645637
14880,0.04086474712584397,0.26219185913678844,0.052921333088801724,0.013634187552863601
14912,0.03793180746769761,0.2645551117205543,0.0529210934112783,0.013634353400329797
14944,0.03499975200474546,0.266917892672076,0.052920902538881126,0.013634483619416398
14976,0.03206858151949493,0.2692801740192315,0.052960481799534394,0.013660559892348368
15008,0.029138255571208044,0.2716419579863481,0.05300709063600147,0.013694167563210766
15040,0.026208743781507376,0.27400323612897476,0.053043651873637895,0.013724180072468456
15072,0.023280016066322014,0.27636399747248525,0.05306024203307253,0.013738491405714186
15104,0.020352004217391254,0.2787242598794302,0.05436797543822866,0.0153271646223134
15136,0.01742464976226104,0.28108403200717175,0.054728829759958235,0.015797812207256415
15168,0.014497897419287092,0.28344331890905683,0.05505489626508581,0.01622664044849572
15200,0.011571655339533422,0.2858021545271214,0.05490354504530739,0.016036048463361777
15232,0.008645844624667862,0.28816056233811516,0.0548342292388352,0.015950098206032767
15264,0.005720392300950756,0.2905185613609608,0.05482783760755859,0.015945078777723064
15296,0.0027951909873031263,0.29287619911098195,0.054827824712510194,0.015947695843326618
15328,-0.00012983878203975537,0.29523350191445874,0.05482761335265214,0.015949521472926137
